Sample Station Label,Year,BHC20_100,day1,day2,day3,day4,tssr1,tssr2,tssr3,tssr4,dur1,dur2,dur3,dur4,visit1,visit2,visit3,visit4
PC11-HW-12_22,2011,CMF,,0.38630137,,0.460273973,,0.119444444,,0.077777778,,0.08,,0.08,,0,,0
PC11-HW-12_23,2011,CMF,,0.38630137,,0.460273973,,0.136805556,,0.086805556,,0.08,,0.08,,0,,0
PC11-HW-12_24,2011,CMF,,0.38630137,,0.460273973,,0.14375,,0.092361111,,0.08,,0.08,,0,,0
PC11-HW-12_25,2011,DYF,,0.38630137,,0.460273973,,0.149305556,,0.101388889,,0.08,,0.08,,0,,0
PC11-HW-12_26,2011,DYF,,0.38630137,,0.460273973,,0.154861111,,0.106944444,,0.08,,0.08,,0,,0
PC11-HW-12_27,2011,DMF,,0.38630137,,0.460273973,,0.160416667,,0.113194444,,0.08,,0.08,,0,,0
PC11-HW-12_28,2011,DYF,,0.38630137,,0.460273973,,0.166666667,,0.11875,,0.08,,0.08,,0,,0
PC11-HW-12_33,2011,DMF,,,0.410958904,,,,0.020138889,,,,0.08,,,,0,
PC11-HW-12_36,2011,RSH,,,0.410958904,,,,0.047222222,,,,0.08,,,,0,
PC11-HW-12_37,2011,RSH,,,0.410958904,,,,0.05625,,,,0.08,,,,0,
PC11-HW-12_38,2011,RSH,,,0.410958904,,,,0.064583333,,,,0.08,,,,0,
PC11-HW-12_39,2011,RSH,,,0.410958904,,,,0.072222222,,,,0.08,,,,0,
PC11-HW-12_40,2011,RSH,,,0.410958904,,,,0.079861111,,,,0.08,,,,0,
PC11-HW-12_41,2011,RSH,,,0.410958904,,,,0.088194444,,,,0.08,,,,0,
PC11-HW-12_42,2011,CMF,,,0.410958904,,,,0.116666667,,,,0.08,,,,0,
PC11-HW-12_43,2011,CMF,,,0.410958904,,,,0.125694444,,,,0.08,,,,0,
PC11-HW-12_44,2011,DYF,,,0.410958904,,,,0.132638889,,,,0.08,,,,0,
PC11-HW-12_45,2011,DYF,,,0.410958904,,,,0.139583333,,,,0.08,,,,0,
PC11-HW-12_46,2011,DYF,,,0.410958904,,,,0.148611111,,,,0.08,,,,0,
PC11-HW-12_50,2011,DYF,,,,0.460273973,,,,0.125,,,,0.08,,,,0
PC11-HW-12_51,2011,DYF,,,,0.460273973,,,,0.13125,,,,0.08,,,,0
PC11-HW-12_52,2011,DSG,,,,0.460273973,,,,0.136111111,,,,0.08,,,,0
PC11-HW-12_53,2011,DSH,,,,0.460273973,,,,0.142361111,,,,0.08,,,,0
PC11-J_10,2011,DYF,,,0.408219178,,,,0.059722222,,,,0.08,,,,0,
PC11-J_11,2011,DYF,,,0.408219178,,,,0.072916667,,,,0.08,,,,0,
PC11-J_13,2011,DYF,,,,0.473972603,,,,0.04375,,,,0.08,,,,0
PC11-J_14,2011,DYF,,,,0.473972603,,,,0.05,,,,0.08,,,,0
PC11-J_15,2011,DYF,,0.389041096,,0.473972603,,-1.11022E-16,,0.05625,,0.08,,0.08,,0,,0
PC11-J_16,2011,DYF,,0.389041096,,0.473972603,,0.007638889,,0.061805556,,0.08,,0.08,,0,,0
PC11-J_17,2011,DYF,,0.389041096,,0.473972603,,0.013888889,,0.06875,,0.08,,0.08,,0,,0
PC11-J_18,2011,DYF,,0.389041096,,0.473972603,,0.020833333,,0.074305556,,0.08,,0.08,,0,,0
PC11-J_20,2011,DYF,,0.389041096,,0.473972603,,0.031944444,,0.085416667,,0.08,,0.08,,0,,0
PC11-J_22,2011,DYF,,0.389041096,,0.473972603,,0.049305556,,0.100694444,,0.08,,0.08,,0,,0
PC11-J_23,2011,DYF,,0.389041096,,0.473972603,,0.056944444,,0.107638889,,0.08,,0.08,,0,,0
PC11-J_24,2011,DYF,,0.389041096,,0.473972603,,0.063194444,,0.113888889,,0.08,,0.08,,0,,0
PC11-J_25,2011,DYF,,0.389041096,,0.473972603,,0.06875,,0.120138889,,0.08,,0.08,,0,,0
PC11-J_26,2011,DYF,,0.389041096,,0.473972603,,0.075694444,,0.127083333,,0.08,,0.08,,0,,0
PC11-J_30,2011,DYF,,,0.408219178,,,,-0.001388889,,,,0.08,,,,0,
PC11-J_31,2011,DYF,,,0.408219178,,,,0.004861111,,,,0.08,,,,0,
PC11-J_32,2011,DYF,,,0.408219178,,,,0.010416667,,,,0.08,,,,0,
PC11-J_33,2011,DYF,,,0.408219178,,,,0.027083333,,,,0.08,,,,0,
PC11-J_34,2011,DYF,,,0.408219178,,,,0.039583333,,,,0.08,,,,0,
PC11-J_35,2011,DYF,,,0.408219178,,,,0.045833333,,,,0.08,,,,0,
PC11-J_36,2011,DYF,,,0.408219178,,,,0.052777778,,,,0.08,,,,0,
PC11-J_38,2011,DYF,,,0.408219178,,,,0.065972222,,,,0.08,,,,0,
PC11-J_40,2011,DYF,,,0.408219178,,,,0.080555556,,,,0.08,,,,0,
PC11-J_50,2011,CUL,,,,0.473972603,,,,0.010416667,,,,0.08,,,,0
PC11-J_51,2011,DSS,,,,0.473972603,,,,0.01875,,,,0.08,,,,0
PC11-J_52,2011,DSG,,,,0.473972603,,,,0.026388889,,,,0.08,,,,0
PC11-J_53,2011,DYF,,,,0.473972603,,,,0.03125,,,,0.08,,,,0
PC11-J_54,2011,DYF,,,,0.473972603,,,,0.0375,,,,0.08,,,,0
PC11-J_55,2011,DYF,,,,0.473972603,,,,0.134027778,,,,0.08,,,,0
PC11-J_56,2011,DYF,,,,0.473972603,,,,0.140972222,,,,0.08,,,,0
PC11-K_01,2011,CYF,0.410958904,0.454794521,0.528767123,,-2.22045E-16,0.001388889,0.015277778,,0.08,0.08,0.08,,0,0,0,
PC11-K_02,2011,CYF,0.410958904,0.454794521,0.528767123,,0.008333333,0.013888889,0.032638889,,0.08,0.08,0.08,,0,0,0,
PC11-K_03,2011,DYF,0.410958904,,0.528767123,,0.018055556,,0.044444444,,0.08,,0.08,,0,,0,
PC11-K_04,2011,DYF,0.410958904,0.454794521,0.528767123,,0.027777778,0.040277778,0.056944444,,0.08,0.08,0.08,,0,0,0,
PC11-K_05,2011,DYF,0.410958904,0.454794521,0.528767123,,0.042361111,0.054166667,0.070138889,,0.08,0.08,0.08,,0,0,0,
PC11-K_06,2011,DYF,0.410958904,0.454794521,0.528767123,,0.051388889,0.067361111,0.080555556,,0.08,0.08,0.08,,0,0,0,
