species,BHC,mean,LCL,UCL
YBSA,CUL,0.076564132,0.039309656,0.149125351
YBSA,NVE,0.093811267,0.033058007,0.266215497
WAVI,CSH,0.189791927,0.056678202,0.635534899
WAVI,CYF,0.198926047,0.151096384,0.261896222
WAVI,CMF,0.110263302,0.080811066,0.150449639
WAVI,DSH,0.12042491,0.05783871,0.250734481
WAVI,DYF,0.16269765,0.132871371,0.199219179
WAVI,DMF,0.168554938,0.116811879,0.243218132
WAVI,RSH,0.065551085,0.031946145,0.134505889
WAVI,RYF,0.125375749,0.067871329,0.231601157
WAVI,RMF,0.126814509,0.070939128,0.226700274
WAVI,FBS/FBT,0.199636115,0.084451325,0.471923665
WAVI,WGR,0.020838527,0.002711306,0.160160551
WAVI,WSH,0.181496482,0.070276119,0.468736371
WAVI,WRI,0.05688185,0.019800115,0.163410409
WAVI,DSG/DSS,0.051879602,0.02611902,0.103047244
WAVI,CUL,0.081257024,0.042885757,0.153960299
WAVI,NVE,0.071182653,0.022654548,0.223662377
LISP,CSH,0.327360843,0.097816979,1.095567682
LISP,CYF,0.053809856,0.034779819,0.083252318
LISP,CMF,0.04000524,0.025070706,0.063836224
LISP,DSH,0.227341486,0.112403919,0.459807377
LISP,DYF,0.074377307,0.055581253,0.09952967
LISP,DMF,0.059272999,0.034781307,0.101010822
LISP,RSH,0.315237584,0.199066594,0.49920347
LISP,RYF,0.098947461,0.049477588,0.197879495
LISP,RMF,0.050223485,0.021406917,0.117831
LISP,FBS/FBT,0.274198325,0.114635448,0.655859271
LISP,WGR,0.273944257,0.11135364,0.67393806
LISP,WSH,0.155083096,0.055848095,0.430646142
LISP,WRI,0.411123543,0.230063278,0.734678604
LISP,DSG/DSS,0.041096616,0.019125586,0.088307456
LISP,CUL,0.128447662,0.068744332,0.240002358
LISP,NVE,0.178265932,0.074276913,0.427841456
HETH,CSH,0.071142837,0.008432399,0.600221005
HETH,CYF,0.146835422,0.108070501,0.199505332
HETH,CMF,0.068612388,0.047309624,0.099507446
HETH,DSH,0.290511201,0.151574651,0.556799946
HETH,DYF,0.192096439,0.155344832,0.237542771
HETH,DMF,0.096901224,0.062232653,0.150882964
HETH,RSH,0.199233682,0.121882077,0.325675943
HETH,RYF,0.268186645,0.162017047,0.44392907
HETH,RMF,0.080474726,0.04136304,0.156569282
HETH,FBS/FBT,0.185277608,0.071907684,0.477386978
HETH,WGR,0.065894058,0.014146989,0.306922327
HETH,WSH,0.103932392,0.034361538,0.314361422
HETH,WRI,0.1633382,0.082910752,0.32178417
HETH,DSG/DSS,0.097141299,0.053412616,0.176670472
HETH,CUL,0.179081841,0.101538901,0.315842554
HETH,NVE,0.186234282,0.079298492,0.437375374
WETA,CSH,0.057271837,0.007891064,0.415668085
WETA,CYF,0.445874579,0.370791541,0.536161476
WETA,CMF,0.516526654,0.434237746,0.614409473
WETA,DSH,0.112495519,0.055038494,0.229934375
WETA,DYF,0.220345677,0.186246454,0.260688009
WETA,DMF,0.293240067,0.221958539,0.387413511
WETA,RSH,0.102441699,0.059445429,0.176536731
WETA,RYF,0.166849345,0.099198692,0.280635795
WETA,RMF,0.293302787,0.202715302,0.424371144
WETA,FBS/FBT,0.291950185,0.147200151,0.579040915
WETA,WGR,0.105091325,0.032992976,0.334743573
WETA,WSH,0.148766705,0.05432996,0.407354112
WETA,WRI,0.077397082,0.034063937,0.175854843
WETA,DSG/DSS,0.036120231,0.014844213,0.08789089
WETA,CUL,0.107752422,0.052649479,0.220526102
WETA,NVE,0.113274614,0.041577756,0.30860584
AMRE,CSH,0.21172687,0.057723647,0.776601446
AMRE,CYF,0.037466165,0.022946032,0.061174563
AMRE,CMF,0.178070542,0.128904528,0.245989169
AMRE,DSH,0.110144075,0.048390378,0.250705158
AMRE,DYF,0.088663925,0.066474276,0.118260658
AMRE,DMF,0.168587966,0.109725943,0.259026276
AMRE,RSH,0.098892615,0.053789642,0.181814729
AMRE,RYF,0.216644212,0.118038401,0.397622421
AMRE,RMF,0.324904118,0.198379862,0.532124003
AMRE,FBS/FBT,0.10906424,0.035120976,0.338686725
AMRE,WGR,0.028123021,0.004941942,0.160039166
AMRE,WSH,0.07749194,0.021624177,0.277698471
AMRE,WRI,0.038132679,0.014096187,0.103155639
AMRE,DSG/DSS,0.047118122,0.023494146,0.09449662
AMRE,CUL,0.06117769,0.024605702,0.152107413
AMRE,NVE,0.028569778,0.005288194,0.154349897
CHSP,CSH,0.285257924,0.099678543,0.816345032
CHSP,CYF,0.183197519,0.138411449,0.242475106
CHSP,CMF,0.109294835,0.080251873,0.148848376
CHSP,DSH,0.06835671,0.027035439,0.17283388
CHSP,DYF,0.082663525,0.063984834,0.10679497
CHSP,DMF,0.12069732,0.08153979,0.178659316
CHSP,RSH,0.152777874,0.091753672,0.254388498
CHSP,RYF,0.122902861,0.064969838,0.232494244
CHSP,RMF,0.105017175,0.058075447,0.189901372
CHSP,FBS/FBT,0.395254783,0.187033287,0.835286304
CHSP,WGR,0.138456388,0.039091282,0.490395051
CHSP,WSH,0.070464929,0.015750831,0.315240905
CHSP,WRI,0.317704409,0.182778919,0.552230489
CHSP,DSG/DSS,0.038368561,0.016180719,0.090981522
CHSP,CUL,0.08790977,0.042295491,0.182717529
CHSP,NVE,0.170528854,0.076038192,0.382440578
BHCO,CSH,0.054305257,0.006759823,0.436263037
BHCO,CYF,0.052962892,0.034734715,0.080756901
BHCO,CMF,0.038846063,0.025175068,0.059940915
BHCO,DSH,0.126761254,0.058116586,0.276485879
BHCO,DYF,0.068377547,0.050516448,0.092553795
BHCO,DMF,0.082753877,0.053903749,0.127045045
BHCO,RSH,0.040423885,0.018148019,0.090042362
BHCO,RYF,0.084026657,0.042892398,0.164609103
BHCO,RMF,0.045060142,0.019730554,0.102907216
BHCO,FBS/FBT,0.155443366,0.057454108,0.420555482
BHCO,WGR,0.084794,0.023296276,0.30863399
BHCO,WSH,0.158025402,0.056585684,0.441313529
BHCO,WRI,0.058463808,0.019810311,0.172537264
BHCO,DSG/DSS,0.030565385,0.013035277,0.071670343
BHCO,CUL,0.027273612,0.011861878,0.06270929
BHCO,NVE,0.043960574,0.012228199,0.158038977
CEWA,CSH,0.156338247,0.031431302,0.777621206
CEWA,CYF,0.050331422,0.029860165,0.084837177
CEWA,CMF,0.021487932,0.011586719,0.039850039
CEWA,DSH,0.127438718,0.052462026,0.309569189
CEWA,DYF,0.050939528,0.033853538,0.076648872
CEWA,DMF,0.019266545,0.00843181,0.044023735
CEWA,RSH,0.039059832,0.017883565,0.085311319
CEWA,RYF,0.039271648,0.014588804,0.105715478
CEWA,RMF,0.010781716,0.002849323,0.040797554
