OBJECTID_12_13,FID_Footprint_20200701,OBJECTID,PAZ,Shape_Leng,Area_ha,FID_CEM_Oct10_13,OBJECTID_1,OBJECTID_12,OBJECTID_2,OBJECTID_3,FEATURE_ID,CEM_ECP,ECP_TAG,FCODE,JOIN_ID,MAPSH_NBR,POLY_NBR,SOURCE,MAP_SRC,ECO_SEC,BGC_ZONE,BGC_SUBZON,BGC_VRT,BGC_PHASE,SDEC_1,SITE_S1,SITEMC_S1,SITE_M1A,SITE_M1B,STRCT_S1,STRCT_M1,SERAL_1,SDEC_2,SITE_S2,SITEMC_S2,SITE_M2A,SITE_M2B,STRCT_S2,STRCT_M2,SERAL_2,SDEC_3,SITE_S3,SITEMC_S3,SITE_M3A,SITE_M3B,STRCT_S3,STRCT_M3,SERAL_3,AREA,PERIMETER,HECTARES,Shape_Leng_1,SDEC1_Area,SDEC2_Area,SDEC3_Area,HabType_1,HabType_2,HabType_3,PUMP_Strat,MCECA_W,MALAM_W,MODHE_W,MODVI_W,FOREST_TYP,FOREST_T_1,FOREST_T_2,AGE_TYPE1,AGE_TYPE2,AGE_TYPE3,Dens_SAV,MAPE_CT_De,Shape_Le_1,Tot_Dens_S,Tot_Densit,Resting,Vert_Div,Shape_Le_2,Wetland,Grassland,Area_ha_1,Shape_Length,Shape_Area
1399,3,4,Quarry,38952.221953499996744,614.460494077000021,70058,70060,0,0,0.000000000000000,0.000000000000000,160059,093O100_23, , ,093O100,23,P,TEM,PEF,BWBS,wk,1, ,10,4,SW,k, ,5, , ,0, , , , , , , ,0, , , , , , , ,0.000000000000000,0.000000000000000,0.000000000000000,1329.953376010000056,0.000000000000000,0.000000000000000,0.000000000000000, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , ,0.000000000000000,0.000000000000000,1329.953503060000003,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1329.953381399999898,No,No,4.618102529550000,1273.899258493538582,44848.333825602938305
1400,3,4,Quarry,38952.221953499996744,614.460494077000021,70059,70061,0,0,0.000000000000000,0.000000000000000,160060,093O100_24, , ,093O100,24,P,TEM,PEL,BWBS,mw,1, ,6,1,AM,w, ,5, , ,4,03,SW,s,w,5, , ,0, , , , , , , ,0.000000000000000,0.000000000000000,0.000000000000000,854.096759251999970,0.000000000000000,0.000000000000000,0.000000000000000, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , ,0.000000000000000,0.000000000000000,854.096822900000006,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,854.096762193000018,No,No,3.529552712110000,854.096795491776788,35295.527303341747029
1401,3,4,Quarry,38952.221953499996744,614.460494077000021,70060,70062,0,0,0.000000000000000,0.000000000000000,160061,093O100_25, , ,093O100,25,P,TEM,PEF,BWBS,wk,1, ,10,1,SM,g,k,5, , ,0, , , , , , , ,0, , , , , , , ,0.000000000000000,0.000000000000000,0.000000000000000,2178.563204179999957,0.000000000000000,0.000000000000000,0.000000000000000, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , ,0.000000000000000,0.000000000000000,2178.563297719999809,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2178.563080190000164,No,No,4.369200056750000,2042.405163917899472,34840.395505359374511
1402,3,4,Quarry,38952.221953499996744,614.460494077000021,70062,70064,0,0,0.000000000000000,0.000000000000000,160063,093O100_34, , ,093O100,34,P,TEM,PEF,BWBS,wk,1, ,8,4,SW,k, ,5, , ,2,04,SW,k,s,5, , ,0, , , , , , , ,0.000000000000000,0.000000000000000,0.000000000000000,799.842409087999954,0.000000000000000,0.000000000000000,0.000000000000000, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , ,0.000000000000000,0.000000000000000,799.842385520999983,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,799.842410396999981,No,No,2.478847368300000,799.842354244105422,24788.471465113892918
1403,3,4,Quarry,38952.221953499996744,614.460494077000021,70069,70071,0,0,0.000000000000000,0.000000000000000,160070,093O100_126, , ,093O100,126,P,TEM,PEF,BWBS,wk,1, ,10,4,SW,g,k,5, , ,0, , , , , , , ,0, , , , , , , ,0.000000000000000,0.000000000000000,0.000000000000000,991.804193105999957,0.000000000000000,0.000000000000000,0.000000000000000, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , ,0.000000000000000,0.000000000000000,991.804125093000039,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,991.804232604000049,No,No,2.783486107920000,934.253916948840015,15181.378620745010267
1404,3,4,Quarry,38952.221953499996744,614.460494077000021,70077,70079,0,0,0.000000000000000,0.000000000000000,160078,093O100_168, , ,093O100,168,P,TEM,PEL,BWBS,mw,1, ,7,1,AM,c, ,5, , ,3,01,AM,c, ,4, ,ap,0, , , , , , , ,0.000000000000000,0.000000000000000,0.000000000000000,3155.948389010000028,0.000000000000000,0.000000000000000,0.000000000000000, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , ,0.000000000000000,0.000000000000000,3155.948369220000131,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3155.948756400000093,No,No,11.000287094600001,1290.133782942462403,30397.631241214916372
1405,3,4,Quarry,38952.221953499996744,614.460494077000021,70079,70081,0,0,0.000000000000000,0.000000000000000,160080,093O100_151, , ,093O100,151,P,TEM,PEF,BWBS,wk,1, ,5,4,SW,s, ,5, , ,5,00,RO,w, ,1, , ,0, , , , , , , ,0.000000000000000,0.000000000000000,0.000000000000000,1048.558066269999927,0.000000000000000,0.000000000000000,0.000000000000000, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , ,0.000000000000000,0.000000000000000,1048.558278949999931,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1048.558011329999999,No,No,2.841712928350000,1048.557915172065350,28417.129010204422229
1406,3,4,Quarry,38952.221953499996744,614.460494077000021,70083,70085,0,0,0.000000000000000,0.000000000000000,160084,093O100_181, , ,093O100,181,P,TEM,PEF,BWBS,wk,1, ,6,4,SW,k, ,5, , ,4,04,SW,k,s,6, , ,0, , , , , , , ,0.000000000000000,0.000000000000000,0.000000000000000,885.816457531999959,0.000000000000000,0.000000000000000,0.000000000000000, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , ,0.000000000000000,0.000000000000000,885.816541600000050,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,885.816431130999945,No,No,3.216579663990000,885.816300431834293,32165.794464106453233
1407,3,4,Quarry,38952.221953499996744,614.460494077000021,70088,70090,0,0,0.000000000000000,0.000000000000000,160089,093O100_194, , ,093O100,194,P,TEM,PEF,BWBS,wk,1, ,5,1,SM, , ,5, , ,5,04,SW,j, ,5, , ,0, , , , , , , ,0.000000000000000,0.000000000000000,0.000000000000000,1118.147062600000027,0.000000000000000,0.000000000000000,0.000000000000000, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , ,0.000000000000000,0.000000000000000,1118.147182189999967,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1118.147210639999912,No,No,2.565589094370000,890.550616339287330,21450.356705274196429
1408,3,4,Quarry,38952.221953499996744,614.460494077000021,70089,70091,0,0,0.000000000000000,0.000000000000000,160090,093O100_195, , ,093O100,195,P,TEM,PEF,BWBS,wk,1, ,10,4,SW,k,s,5, , ,0, , , , , , , ,0, , , , , , , ,0.000000000000000,0.000000000000000,0.000000000000000,845.586542355000006,0.000000000000000,0.000000000000000,0.000000000000000, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , ,0.000000000000000,0.000000000000000,845.586493702999974,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,845.586607647000051,No,No,3.146024131890000,845.586609266902997,31460.242322173911816
