FID,Shape *,OBJECTID_1,OBJECTID,OBJECTID_2,OBJECTID_3,FEATURE_ID,CEM_ECP,ECP_TAG,SOURCE,MAP_SRC,ECO_SEC,BECUNIT,SDEC_1,DEC1,SDEC_2,DEC2,SDEC_3,DEC3,BHC20_1,BHC20_2,BHC20_3,BHC33_1,BHC33_2,BHC33_3,SDEC1_AREA,SDEC2_AREA,SDEC3_AREA,Area_m
3870,Polygon,66434,1888,0,0,0,81847,094A025_3691,V,TEM,PEL,BWBSmw1,10,AM:ap4,0, ,0, ,DYF, , ,DYF-At, , ,32800.05064,0,0,30053.57046
3871,Polygon,66435,1891,0,0,0,81850,094A026_3549,P,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,63830.79256,0,0,58180.91236
3872,Polygon,66437,1905,0,0,0,81864,094A025_4878,P,TEM,PEL,BWBSmw1,10,SW:as5,0, ,0, ,DYF, , ,DYF-At, , ,172986.6231,0,0,172986.6641
3873,Polygon,66447,1923,0,0,0,81879,094A025_3726,G,TEM,PEL,BWBSmw1,10,LL:ak3,0, ,0, ,DSH, , ,DSH-At, , ,26449.0673,0,0,26449.09884
3874,Polygon,66449,1926,0,0,0,81882,094A026_3503,V,TEM,PEL,BWBSmw1,8,AM:ap4,2,AM5,0, ,DYF,CYF, ,DYF-At,CYF-Sw, ,87419.71823,21854.92956,0,52367.07539
3875,Polygon,66450,1927,0,0,0,81883,094A025_3711,P,TEM,PEL,BWBSmw1,10,AM:ap4,0, ,0, ,DYF, , ,DYF-At, , ,36661.52268,0,0,36661.55943
3876,Polygon,66451,1928,0,0,0,81884,094A025_3700,G,TEM,PEL,BWBSmw1,5,SW:as5,5,SW:4,0, ,DYF, , ,DYF-At, , ,61479.71172,61479.71172,0,122959.4829
3877,Polygon,66452,1930,0,0,0,81886,094A025_3739,P,TEM,PEL,BWBSmw1,10,AM:ap3,0, ,0, ,DSH, , ,DSH-At, , ,11008.38991,0,0,11008.39126
3878,Polygon,66453,1931,0,0,0,81887,094A025_4873,G,TEM,PEL,BWBSmw1,10,AM:ap4,0, ,0, ,DYF, , ,DYF-At, , ,212942.4536,0,0,50706.09773
3879,Polygon,66455,1937,0,0,0,81893,094A026_3573,P,TEM,PEL,BWBSmw1,6,AS3,4,WW2b,0, ,DSS,DSG, ,DSS,DSG, ,13201.66179,8801.10786,0,561.27384
