ID,Scientific Name,Scientific Name Synonyms,English Name,English Name Synonyms,Species Code,Element Code,Global Status,Global Status Review Date,Prov Status,Prov Status Review Date,Prov Status Change Date,COSEWIC,COSEWIC Comments,BC List,Provincial FRPA,Land Use Objectives,Ecosection,Prov Wildlife Act,GOERT,MBCA,SARA,SARA Comments,General Status Canada,CITES,Name Category,Class (English),Species Level,Kingdom,Phylum,Class,Order,Family,Forest Dist,MOE Region,Regional Dist,Municipality,BGC,Habitat Subtype,Origin,Presence,Breeding Bird,Ecosystem Group,Endemic,CDC Maps,Mapping Status
128,Calidris ferruginea,,Curlew Sandpiper,,B-CUSA,ABNNF11180,G5?,1996-11-26 0:00:00,SNA,2009-1-10 0:00:00,,,,Accidental,,,,,,Y,,,8 - Accidental (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
129,Calidris fuscicollis,,White-rumped Sandpiper,,B-WRSA,ABNNF11110,G5,2016-4-7 0:00:00,SNA,2009-1-10 0:00:00,,,,Accidental,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
130,Calidris himantopus,,Stilt Sandpiper,,B-STSA,ABNNF11190,G5,2016-4-7 0:00:00,SUM,2015-3-5 0:00:00,2015-4-21 0:00:00,,,Unknown,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,,Native,Regularly occurring,N,,N,N,
131,Calidris maritima,,Purple Sandpiper,,B-PUSA,ABNNF11150,G5,2016-4-7 0:00:00,SNA,2017-1-20 0:00:00,2017-1-20 0:00:00,,,Accidental,,,,,,,,,,,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
132,Calidris mauri,,Western Sandpiper,,B-WESA,ABNNF11050,G5,2016-4-7 0:00:00,S4M,2015-3-5 0:00:00,2015-4-21 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,Estuary;Stream/River;Lake;Intertidal Marine;Beach;Pond/Open Water;Mudflats - Intertidal,Native,Regularly occurring,N,,N,N,
133,Calidris melanotos,,Pectoral Sandpiper,,B-PESA,ABNNF11130,G5,2016-4-7 0:00:00,SUM,2015-3-5 0:00:00,2015-4-21 0:00:00,,,Unknown,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,,Native,Regularly occurring,N,,N,N,
134,Calidris minuta,,Little Stint,,B-LIST,ABNNF11070,G5,1996-11-26 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,8 - Accidental (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
135,Calidris minutilla,,Least Sandpiper,,B-LESA,ABNNF11100,G5,2016-4-7 0:00:00,S4?B,2015-3-5 0:00:00,1992-12-9 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,Estuary;Bog;Fen;Swamp;Marsh;Stream/River;Lake;Pasture/Old Field;Cultivated Field;Hedgerow;Intertidal Marine,Native,Regularly occurring,Y,,N,N,
136,Calidris ptilocnemis,,Rock Sandpiper,,B-ROSA,ABNNF11160,G5,2016-4-7 0:00:00,S4N,2015-3-5 0:00:00,2009-1-23 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,Intertidal Marine;Beach,Native,Regularly occurring,N,,N,N,
137,Calidris pugnax,Philomachus pugnax,Ruff,,B-RUFF,ABNNF15010,G5,2016-4-7 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,8 - Accidental (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
138,Calidris pusilla,,Semipalmated Sandpiper,,B-SESA,ABNNF11040,G5,2016-4-7 0:00:00,SUM,2015-3-5 0:00:00,2015-4-21 0:00:00,,,Unknown,,,,,,Y,,,3 - Sensitive (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,Estuary;Bog;Fen;Swamp;Marsh;Lake;Intertidal Marine;Pond/Open Water;Mudflats - Intertidal,Native,Regularly occurring,N,,N,N,
139,Calidris pygmea,Eurynorhynchus pygmeus,Spoon-billed Sandpiper,Spoonbill Sandpiper,B-SBSA,ABNNF12010,G2G3,1997-5-28 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,8 - Accidental (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
140,Calidris ruficollis,,Red-necked Stint,,B-RNST,ABNNF11060,G4,2016-4-7 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,8 - Accidental (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
141,Calidris subruficollis,Tryngites subruficollis,Buff-breasted Sandpiper,,B-BBSA,ABNNF14010,G4,2016-4-7 0:00:00,SUM,2015-3-5 0:00:00,2015-4-21 0:00:00,SC (May 2012),,Unknown,,,,,,Y,1-SC,,3 - Sensitive (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,,Native,Regularly occurring,N,,N,N,
142,Calidris temminckii,,Temminck's Stint,,B-TEST,ABNNF11080,G5,2016-4-7 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,8 - Accidental (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
143,Calidris tenuirostris,,Great Knot,,B-GRKN,ABNNF11010,G4G5,1997-5-28 0:00:00,SNA,2015-3-5 0:00:00,2002-1-10 0:00:00,,,Accidental,,,,,,Y,,,8 - Accidental (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
144,Calidris virgata,Aphriza virgata,Surfbird,,B-SURF,ABNNF10010,G4,2016-4-7 0:00:00,S4M,2015-3-5 0:00:00,2009-1-23 0:00:00,,,Yellow,,,,,,Y,,,3 - Sensitive (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,,Native,Regularly occurring,N,,N,N,
145,Gallinago delicata,Gallinago gallinago,Wilson's Snipe,,B-WISN,ABNNF18030,G5,2016-4-7 0:00:00,S5B,2015-3-5 0:00:00,2015-4-22 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,Estuary;Bog;Fen;Swamp;Marsh;Vernal Pools/Seasonal Seeps;Stream/River;Cultivated Field;Meadow;Grassland;Pond/Open Water,Native,Regularly occurring,Y,,N,N,
146,Limnodromus griseus,,Short-billed Dowitcher,,B-SBDO,ABNNF16010,G5,2016-4-9 0:00:00,S2S3B,2015-3-5 0:00:00,2012-1-2 0:00:00,,,Blue,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,DPC;DQC;DSS_C,6;9,SQCRD;PRRD;SKRD,,BG;BWBS;CDF;CWH;ICH;IDF;PP;SWB,Estuary;Bog;Fen;Swamp;Pasture/Old Field;Cultivated Field;Hedgerow;Intertidal Marine;Meadow;Beach;Urban/Suburban;Mudflats - Intertidal;Alpine/Subalpine Meadow,Native,Regularly occurring,Y,,N,Y,
147,Limnodromus scolopaceus,,Long-billed Dowitcher,,B-LBDO,ABNNF16020,G5,2016-4-9 0:00:00,S4N,2015-3-5 0:00:00,2015-4-23 0:00:00,,,Yellow,,,,,,Y,,,3 - Sensitive (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,,Native,Regularly occurring,N,,N,N,
148,Limosa fedoa,,Marbled Godwit,,B-MAGO,ABNNF08040,G5,2016-4-9 0:00:00,SUM,2015-3-5 0:00:00,2015-4-23 0:00:00,,,Unknown,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,Estuary;Intertidal Marine;Beach;Mudflats - Intertidal,Native,Regularly occurring,N,,N,N,
149,Limosa haemastica,,Hudsonian Godwit,,B-HUGO,ABNNF08020,G4,2016-4-9 0:00:00,S1S2B,2015-3-5 0:00:00,2013-1-9 0:00:00,T (May 2019),,Red,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,DSS_C,6,SKRD,,BWBS;CDF;CWH;IDF;MS;SWB,Bog;Marsh;Riparian Shrub;Lake;Pasture/Old Field;Cultivated Field;Hedgerow;Tundra;Intertidal Marine;Meadow;Shrub - Natural;Beach;Pond/Open Water;Riparian Herbaceous;Mudflats - Intertidal;Alpine/Subalpine Meadow,Native,Regularly occurring,Y,,N,Y,
150,Limosa lapponica,,Bar-tailed Godwit,,B-BTGO,ABNNF08030,G4,2016-4-9 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,8 - Accidental (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
151,Numenius americanus,,Long-billed Curlew,,B-LBCU,ABNNF07070,G5,2016-4-9 0:00:00,S3B,2018-1-25 0:00:00,1996-6-1 0:00:00,SC (May 2011),,Blue,Y (May 2004),,,,,Y,1-SC (Jan 2005),,3 - Sensitive (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,DCC;DCH;DCO;DCS;DHW;DKA;DKL;DMH;DOS;DPG;DQU;DRM,3;4;5;7;8,EKRD;CKRD;SLRD;TNRD;NORD;CSRD;CBRD;FFRD;OSRD,,BG;CDF;CWH;ICH;IDF;PP;SBPS;SBS,Pasture/Old Field;Cultivated Field;Intertidal Marine;Meadow;Grassland;Mudflats - Intertidal,Native,Regularly occurring,Y,,N,Y,
152,Numenius madagascariensis,,Far Eastern Curlew,,B-FECU,ABNNF07050,G4,1996-11-25 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,8 - Accidental (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
153,Numenius phaeopus,,Whimbrel,,B-WHIM,ABNNF07020,G5,2016-4-9 0:00:00,S1S2B,2019-6-28 0:00:00,2019-6-28 0:00:00,,,Red,,,,,,Y,,,3 - Sensitive (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,,Native,Regularly occurring,Y,,N,N,
154,Numenius tahitiensis,,Bristle-thighed Curlew,,B-BTCU,ABNNF07030,G2,2008-10-22 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,8 - Accidental (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
155,Phalaropus fulicarius,Phalaropus fulicaria,Red Phalarope,,B-REPH,ABNNF20030,G5,2016-4-9 0:00:00,SUM,2015-3-5 0:00:00,2009-1-26 0:00:00,,,Unknown,,,,,,Y,,,3 - Sensitive (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,,Native,Regularly occurring,N,,N,N,Mainly occurs offshore, therefore cannot be mapped.
156,Phalaropus lobatus,,Red-necked Phalarope,,B-RNPL,ABNNF20020,G4G5,2016-4-9 0:00:00,S3S4B,2015-3-5 0:00:00,1996-6-1 0:00:00,SC (Nov 2014),,Blue,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,DSS_C,6,KSRD;SKRD,,BG;BWBS;CDF;CWH;ICH;IDF;MS;PP;SBPS;SBS;SWB,Bog;Fen;Swamp;Marsh;Lake;Tundra;Meadow;Pond/Open Water;Alpine/Subalpine Meadow;Sheltered Waters - Marine,Native,Regularly occurring,Y,,N,W,No occurrences mapped.
157,Phalaropus tricolor,,Wilson's Phalarope,,B-WIPH,ABNNF20010,G5,2016-4-9 0:00:00,S4B,2015-3-5 0:00:00,2015-4-23 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,Estuary;Marsh;Alkali Ponds/Salt Flats;Meadow;Grassland;Urban/Suburban;Pond/Open Water;Riparian Herbaceous;Industrial,Native,Regularly occurring,Y,,N,N,
158,Tringa erythropus,,Spotted Redshank,,B-SPRE,ABNNF01050,G5,1997-5-28 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,8 - Accidental (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
159,Tringa flavipes,,Lesser Yellowlegs,,B-LEYE,ABNNF01030,G5,2016-4-10 0:00:00,S4S5B,2015-3-5 0:00:00,2015-4-24 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,,Native,Regularly occurring,Y,,N,N,
160,Tringa glareola,,Wood Sandpiper,,B-WOSA,ABNNF01060,G5,1996-11-25 0:00:00,SNA,2009-1-10 0:00:00,2005-6-6 0:00:00,,,Accidental,,,,,,Y,,,8 - Accidental (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
161,Tringa incana,Heteroscelus incanus,Wandering Tattler,,B-WATA,ABNNF03010,G4G5,2016-4-10 0:00:00,S3B,2015-3-5 0:00:00,2015-4-24 0:00:00,,,Blue,,,,,,Y,,,3 - Sensitive (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,DSS_C,6,KSRD;SKRD,,BWBS;CDF;CWH;IDF;SBS;SWB,Stream/River;Lake;Rock/Sparsely Vegetated Rock;Intertidal Marine;Glacier/Icefield;Marine Island;Beach;Pond/Open Water;Reefs;Gravel Bar,Native,Regularly occurring,Y,,N,Y,No occurrences mapped.
162,Tringa melanoleuca,,Greater Yellowlegs,,B-GRYE,ABNNF01020,G5,2016-4-10 0:00:00,S5B, SUN,2015-3-5 0:00:00,1998-6-30 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,,Native,Regularly occurring,Y,,N,N,
163,Tringa semipalmata,Catoptrophorus semipalmatus,Willet,,B-WILL,ABNNF02010,G5,2016-4-10 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
164,Tringa solitaria,,Solitary Sandpiper,,B-SOSA,ABNNF01070,G5,2016-4-10 0:00:00,S5B,2015-3-5 0:00:00,1998-6-30 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,,Native,Regularly occurring,Y,,N,N,
165,Xenus cinereus,,Terek Sandpiper,,B-TESA,ABNNF05010,G5,2016-4-10 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,8 - Accidental (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Scolopacidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
166,Stercorarius longicaudus,,Long-tailed Jaeger,,B-LTJA,ABNNM01030,G5,2016-4-10 0:00:00,SNRM,2015-3-5 0:00:00,2009-12-18 0:00:00,,,No Status,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Stercorariidae,,,,,,,Native,Regularly occurring,N,,N,N,
167,Stercorarius maccormicki,Catharacta maccormicki,South Polar Skua,,B-SPSK,ABNNM01050,G5,2016-4-10 0:00:00,SUM,2015-3-5 0:00:00,2015-4-24 0:00:00,,,Unknown,,,,,,Y,,,,,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Stercorariidae,,,,,,,Native,Regularly occurring,N,,N,N,
168,Stercorarius parasiticus,,Parasitic Jaeger,,B-PAJA,ABNNM01020,G5,2016-4-10 0:00:00,S1B,SUM,2015-3-5 0:00:00,2015-4-24 0:00:00,,,Red,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Stercorariidae,DSS;DSS_C,6,SKRD,,BWBS,,Native,Regularly occurring,Y,,N,Y,
169,Stercorarius pomarinus,,Pomarine Jaeger,,B-POJA,ABNNM01010,G5,2016-4-10 0:00:00,SUM,2015-3-5 0:00:00,2015-4-24 0:00:00,,,Unknown,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Stercorariidae,,,,,,,Native,Regularly occurring,N,,N,N,
170,Chlidonias niger,,Black Tern,,B-BLTE,ABNNM10020,G4G5,2016-4-7 0:00:00,S4B,2015-3-5 0:00:00,1998-6-30 0:00:00,NAR (May 1996),,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Laridae,DAB;DCC;DCH;DCK;DCO;DFN;DHW;DKA;DKL;DMH;DND;DOS;DPC;DPG;DQU;DRM;DVA,2;3;4;5;6;7;8;9,EKRD;CKRD;TNRD;CORD;NORD;CSRD;CBRD;KBRD;BNRD;FFRD;PRRD;NRRD;OSRD;FVRD,,BG;BWBS;CDF;CWH;ESSF;ICH;IDF;MS;PP;SBPS;SBS,Estuary;Bog;Fen;Swamp;Marsh;Stream/River;Lake;Pond/Open Water,Native,Regularly occurring,Y,,N,N,
171,Chroicocephalus philadelphia,Larus philadelphia,Bonaparte's Gull,,B-BOGU,ABNNM03050,G5,2016-4-7 0:00:00,S5?,2015-3-5 0:00:00,2015-4-21 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Laridae,,,,,,,Native,Regularly occurring,Y,,N,N,
172,Chroicocephalus ridibundus,Larus ridibundus,Black-headed Gull,,B-BHGU,ABNNM03040,G5,2016-4-7 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Laridae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
173,Hydrocoloeus minutus,Larus minutus,Little Gull,,B-LIGU,ABNNM03030,G5,2016-4-8 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,3 - Sensitive (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Laridae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
174,Hydroprogne caspia,Sterna caspia,Caspian Tern,,B-CATE,ABNNM08020,G5,2016-4-8 0:00:00,S3B,2015-3-5 0:00:00,1996-6-1 0:00:00,NAR (May 1999),,Blue,,,,,,Y,,,3 - Sensitive (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Laridae,DCK;DCO;DOS;DSI;DVA,1;2;3;7;8,MVRD;CRD;ACRD;CXRD;CSRD;BNRD;OSRD,,BG;BWBS;CDF;CWH;ICH;IDF;PP;SBS,Estuary;Marsh;Stream/River;Lake;Intertidal Marine;Subtidal Marine;Beach;Urban/Suburban;Gravel Bar;Sheltered Waters - Marine,Native,Regularly occurring,Y,,N,W,No occurrences mapped. Populations are increasing and so not currently mapping this species.
175,Larus argentatus,,Herring Gull,,B-HEGU,ABNNM03120,G5,2016-4-9 0:00:00,S5?B,2015-3-5 0:00:00,2015-4-23 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Laridae,,,,,,Estuary;Kelp Bed;Bog;Fen;Swamp;Marsh;Stream/River;Lake;Pasture/Old Field;Cultivated Field;Rock/Sparsely Vegetated Rock;Intertidal Marine;Subtidal Marine;Marine Island;Beach;Urban/Suburban;Pond/Open Water;Reefs;Eelgrass Beds;Mudflats - Intertidal;Industria,Native,Regularly occurring,Y,,N,N,
176,Larus californicus,,California Gull,,B-CAGU,ABNNM03110,G5,2016-4-9 0:00:00,S2S3B,2015-3-5 0:00:00,2015-4-23 0:00:00,,,Blue,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Laridae,DCC;DOS;DQU;DVA,3;5;7;8,CORD;CSRD;CBRD;BNRD;OSRD,,BG;BWBS;CDF;CWH;ICH;IDF;MS;PP;SBS,Estuary;Kelp Bed;Marsh;Alkali Ponds/Salt Flats;Stream/River;Lake;Pasture/Old Field;Cultivated Field;Hedgerow;Intertidal Marine;Meadow;Grassland;Subtidal Marine;Beach;Urban/Suburban;Pond/Open Water;Gravel Bar;Sheltered Waters - Marine,Native,Regularly occurring,Y,,N,W,No occurrences mapped. Population appears to be increasing and so not currently mapping this species.
177,Larus canus,,Mew Gull,,B-MEGU,ABNNM03090,G5,2016-4-9 0:00:00,S4B,2015-3-5 0:00:00,2015-4-23 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Laridae,,,,,,,Native,Regularly occurring,Y,,N,N,
178,Larus crassirostris,,Black-tailed Gull,,B-BTGU,ABNNM03220,G4,1996-11-27 0:00:00,SNA,2009-1-10 0:00:00,,,,Accidental,,,,,,Y,,,8 - Accidental (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Laridae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
179,Larus delawarensis,,Ring-billed Gull,,B-RBGU,ABNNM03100,G5,2016-4-9 0:00:00,S4?B,2015-3-5 0:00:00,2015-4-23 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Laridae,,,,,,Estuary;Marsh;Stream/River;Lake;Pasture/Old Field;Cultivated Field;Hedgerow;Intertidal Marine;Subtidal Marine;Urban/Suburban,Native,Regularly occurring,Y,,N,N,
180,Larus fuscus,,Lesser Black-backed Gull,,B-LBBG,ABNNM03150,G5,2016-4-9 0:00:00,SNA,2009-1-10 0:00:00,2005-6-6 0:00:00,,,Accidental,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Laridae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
181,Larus glaucescens,,Glaucous-winged Gull,,B-GWGU,ABNNM03190,G5,2016-4-9 0:00:00,S4,2015-3-5 0:00:00,2015-4-23 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Laridae,,,,,,,Native,Regularly occurring,Y,,N,N,
182,Larus glaucoides,,Iceland Gull,,B-ICGU,ABNNM03270,G5,2016-4-9 0:00:00,S5N,2017-9-28 0:00:00,2017-9-28 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Laridae,,,,,,,Native,Regularly occurring,N,,N,N,
183,Larus heermanni,,Heermann's Gull,,B-HEEG,ABNNM03060,G4,2016-4-9 0:00:00,SUN,2015-3-5 0:00:00,2015-4-23 0:00:00,,,Unknown,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Laridae,,,,,,,Native,Regularly occurring,N,,N,N,
184,Larus hyperboreus,,Glaucous Gull,,B-GLGU,ABNNM03200,G5,2016-4-9 0:00:00,SNRM,2015-3-5 0:00:00,2009-12-18 0:00:00,,,No Status,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Laridae,,,,,,,Native,Regularly occurring,N,,N,N,
185,Larus marinus,,Great Black-backed Gull,,B-GBBG,ABNNM03210,G5,2016-4-9 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Laridae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
186,Larus occidentalis,,Western Gull,,B-WEGU,ABNNM03180,G5,2016-4-9 0:00:00,SUN,2015-3-5 0:00:00,2015-4-23 0:00:00,,,Unknown,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Laridae,,,,,,,Native,Regularly occurring,N,,N,N,
187,Larus schistisagus,,Slaty-backed Gull,,B-SBGU,ABNNM03160,G5,1996-11-27 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,8 - Accidental (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Laridae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
188,Leucophaeus atricilla,Larus atricilla,Laughing Gull,,B-LAGU,ABNNM03010,G5,2016-4-9 0:00:00,SNA,2015-3-5 0:00:00,2002-1-10 0:00:00,,,Accidental,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Laridae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
189,Leucophaeus pipixcan,Larus pipixcan,Franklin's Gull,,B-FRGU,ABNNM03020,G5,2016-4-9 0:00:00,SUN,2015-3-5 0:00:00,2015-4-24 0:00:00,,,Unknown,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Laridae,,,,,,,Native,Regularly occurring,N,,N,N,
190,Onychoprion aleuticus,Sterna aleutica,Aleutian Tern,,B-ALTE,ABNNM08120,G4,2008-1-4 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,8 - Accidental (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Charadriiformes,Laridae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
