ID,Scientific Name,Scientific Name Synonyms,English Name,English Name Synonyms,Species Code,Element Code,Global Status,Global Status Review Date,Prov Status,Prov Status Review Date,Prov Status Change Date,COSEWIC,COSEWIC Comments,BC List,Provincial FRPA,Land Use Objectives,Ecosection,Prov Wildlife Act,GOERT,MBCA,SARA,SARA Comments,General Status Canada,CITES,Name Category,Class (English),Species Level,Kingdom,Phylum,Class,Order,Family,Forest Dist,MOE Region,Regional Dist,Municipality,BGC,Habitat Subtype,Origin,Presence,Breeding Bird,Ecosystem Group,Endemic,CDC Maps,Mapping Status
11,Aythya americana,,Redhead,,B-REDH,ABNJB11030,G5,2016-4-6 0:00:00,S4B,S5N,2015-3-5 0:00:00,2015-4-20 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,DAB;DCC;DCH;DCO;DCS;DFN;DHW;DKA;DKL;DMH;DOS;DPC;DPG;DQU;DRM;DSS_B;DVA,3;4;5;7;8;9,EKRD;CKRD;TNRD;CORD;NORD;CSRD;CBRD;KBRD;BNRD;FFRD;PRRD;NRRD;OSRD,,BG;BWBS;CDF;CWH;ESSF;ICH;IDF;MS;PP;SBPS;SBS,Estuary;Bog;Fen;Swamp;Marsh;Stream/River;Lake;Pond/Open Water;Sheltered Waters - Marine,Native,Regularly occurring,Y,,N,N,
12,Aythya collaris,,Ring-necked Duck,,B-RNDU,ABNJB11040,G5,2016-4-6 0:00:00,S5B,S5N,2015-3-5 0:00:00,1997-6-17 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,Estuary;Bog;Fen;Swamp;Marsh;Stream/River;Lake,Native,Regularly occurring,Y,,N,N,
13,Aythya fuligula,,Tufted Duck,,B-TUDU,ABNJB11050,G5,2016-4-6 0:00:00,SNA,2015-3-5 0:00:00,,,,Accidental,,,,,,Y,,,8 - Accidental (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,,Native,Accidental/Nonregular,N,,N,N,
14,Aythya marila,,Greater Scaup,,B-GRSC,ABNJB11060,G5,2016-4-6 0:00:00,S4N,2015-3-5 0:00:00,2009-1-23 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,Estuary;Stream/River;Lake;Pasture/Old Field;Cultivated Field;Hedgerow;Pond/Open Water;Sheltered Waters - Marine,Native,Regularly occurring,N,,N,N,
15,Aythya valisineria,,Canvasback,,B-CANV,ABNJB11020,G5,2016-4-6 0:00:00,S4B, SNRN,2015-3-5 0:00:00,1992-12-9 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,DAB;DCC;DCH;DCO;DCS;DFN;DHW;DKA;DKL;DMH;DND;DOS;DPC;DPG;DQU;DRM;DSS_B;DSS_C;DVA,3;4;5;6;7;8;9,EKRD;CKRD;TNRD;CORD;NORD;CSRD;CBRD;KSRD;KBRD;BNRD;FFRD;PRRD;SKRD;NRRD;OSRD,,BG;BWBS;CDF;CWH;ESSF;ICH;IDF;MS;PP;SBPS;SBS,Estuary;Marsh;Stream/River;Lake;Pasture/Old Field;Cultivated Field;Hedgerow;Pond/Open Water;Sheltered Waters - Marine,Native,Regularly occurring,Y,,N,N,
16,Branta bernicla,,Brant,,B-BRAN,ABNJB05010,G5,2016-4-6 0:00:00,S3M,2015-3-5 0:00:00,1996-6-1 0:00:00,,,Blue,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,DSI,1,RDN,,BWBS;CDF;CWH;IDF;SBPS,Estuary;Kelp Bed;Intertidal Marine;Subtidal Marine;Eelgrass Beds;Mudflats - Intertidal;Sheltered Waters - Marine,Native,Regularly occurring,N,,N,P,Tracking and mapping large concentrations where they occur regularly on migration.
17,Branta canadensis,,Canada Goose,,B-CAGO,ABNJB05030,G5,2016-4-6 0:00:00,S5,2015-3-5 0:00:00,,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,CDF;CWH,Estuary;Bog;Fen;Swamp;Marsh;Stream/River;Lake;Pasture/Old Field;Cultivated Field;Hedgerow;Tundra;Meadow;Grassland;Urban/Suburban;Pond/Open Water;Alpine/Subalpine Meadow;Alpine Grassland,Native,Regularly occurring,Y,,N,N,
18,Branta canadensis occidentalis,,Canada Goose, occidentalis subspecies,,B-CAGO-OC,ABNJB05039,G5T3,2016-4-6 0:00:00,S2M,2009-1-10 0:00:00,2009-1-23 0:00:00,,,Red,,,,,,,,,,,Vertebrate Animal,birds,Subspecies,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,CDF;CWH,Estuary;Marsh;Pasture/Old Field;Cultivated Field;Hedgerow;Intertidal Marine;Meadow;Subtidal Marine;Eelgrass Beds;Sheltered Waters - Marine;Pelagic,Native,Regularly occurring,N,,N,N,Non-breeding migrant that overwinters in a few places. Also not often reported as this sub-species therefore adding to the difficulty in tracking and mapping.
19,Branta hutchinsii,,Cackling Goose,,B-CKGO,ABNJB05050,G5,2016-4-6 0:00:00,S4S5M,2015-3-5 0:00:00,2015-4-21 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,Estuary;Marsh;Lake;Pasture/Old Field;Cultivated Field;Hedgerow;Intertidal Marine;Meadow;Grassland;Beach;Pond/Open Water;Riparian Herbaceous,Native,Regularly occurring,N,,N,N,Disparate occurrences along the coast during migration. Also not always differentiated from Canada Goose therefore adding to the difficulty in tracking and mapping.
20,Bucephala albeola,,Bufflehead,,B-BUFF,ABNJB18030,G5,2016-4-6 0:00:00,S5B, SNRN,2015-3-5 0:00:00,1998-6-30 0:00:00,,,Yellow,,,,,,Y,,,4 - Secure (2005),,Vertebrate Animal,birds,Species,Animalia,Craniata,Aves,Anseriformes,Anatidae,,,,,,Estuary;Riparian Forest;Stream/River;Lake;Pasture/Old Field;Cultivated Field;Hedgerow;Deciduous/Broadleaf Forest;Conifer Forest - Mesic (average);Conifer Forest - Dry;Conifer Forest - Moist/wet;Subtidal Marine;Mixed Forest (deciduous/coniferous mix);Shelt,Native,Regularly occurring,Y,,N,N,
