Station,MitProp,Visit,SurveyID,Year,Date,Time,BHC20_100,UTM_Northing,UTM_Easting,B-ATTW,B-BBWO,B-DOWO,B-HAWO,B-NOFL,B-PIWO,B-YBSA
WP18-040,No,1,WP18-040-1,2018,2018-06-07,7:52:00,CMF,614793,6234423,1,0,0,0,1,0,0
WP18-040,No,2,WP18-040-2,2018,2018-06-29,5:21:00,CMF,614793,6234423,1,0,0,1,1,0,0
WP18-041,No,1,WP18-041-1,2018,2018-06-07,8:37:00,CMF,614549,6234686,0,0,0,2,0,0,0
WP18-041,No,2,WP18-041-2,2018,2018-06-07,6:12:00,CMF,614549,6234686,0,0,0,0,0,0,0
WP18-042,No,1,WP18-042-1,2018,2018-06-07,9:33:00,RMF,614210,6234883,0,0,0,1,0,0,0
WP18-042,No,2,WP18-042-2,2018,2018-06-29,6:26:00,RMF,614210,6234883,0,0,0,0,0,0,0
WP18-043,No,1,WP18-043-1,2018,2018-06-06,4:30:00,RYF,614139,6235318,0,0,0,0,0,0,0
WP18-043,No,2,WP18-043-2,2018,2018-06-20,8:16:00,RYF,614139,6235318,0,0,0,0,0,0,0
WP18-044,No,1,WP18-044-1,2018,2018-06-06,4:55:00,RYF,613742,6235636,0,0,0,0,0,0,0
WP18-044,No,2,WP18-044-2,2018,2018-06-20,7:46:00,RYF,613742,6235636,0,0,0,0,0,0,2
WP18-045,No,1,WP18-045-1,2018,2018-06-06,5:30:00,RYF,613635,6235919,0,0,1,0,0,0,0
WP18-045,No,2,WP18-045-2,2018,2018-06-20,7:19:00,RYF,613635,6235919,0,0,0,0,0,0,1
WP18-046,No,1,WP18-046-1,2018,2018-06-06,9:39:00,WRI,613635,6235134,0,0,0,0,0,0,0
WP18-046,No,2,WP18-046-2,2018,2018-06-20,8:44:00,WRI,613635,6235134,0,0,0,0,0,0,1
WP18-047,No,1,WP18-047-1,2018,2018-06-06,5:56:00,RSH,613328,6236197,0,0,1,0,2,0,0
WP18-047,No,2,WP18-047-2,2018,2018-06-18,8:43:00,RSH,613328,6236197,0,0,1,1,1,0,0
WP18-048,No,1,WP18-048-1,2018,2018-06-06,8:56:00,DMF,613161,6235423,0,0,0,0,0,0,2
WP18-048,No,2,WP18-048-2,2018,2018-06-29,6:52:00,DMF,613161,6235423,0,0,0,0,0,0,1
WP18-049,No,1,WP18-049-1,2018,2018-06-06,8:04:00,CMF,613003,6235785,1,0,0,0,0,0,0
WP18-049,No,2,WP18-049-2,2018,2018-06-20,9:17:00,CMF,613003,6235785,0,0,0,0,0,0,0
