StationID,BHC20_100,area.x,BHC20_250,area.y,BHC33_100,area.x.x,BHC33_250,area.y.y
PC08-F-6,CMF,31415.69877,CMF,142742.3671,CMF-Sw,31415.69877,CMF-Sw,142742.3671
PC08-F-6n,CYF,20909.20737,CYF,105847.2348,CYF-Sw,20909.20737,CYF-Sw,105847.2348
PC08-F-7,CYF,21862.69518,CYF,118207.5177,CYF-Sw,21862.69518,CYF-Sw,118207.5177
PC08-F-7n,CYF,31415.72814,CYF,195083.9183,CYF-Sw,31415.72814,CYF-Sw,195083.9183
PC08-F-8,CYF,31415.54612,CYF,195763.1666,CYF-Sw,31415.54612,CYF-Sw,195763.1666
PC08-F-8n,CYF,31415.6714,CYF,192648.2937,CYF-Sw,31415.6714,CYF-Sw,192648.2937
PC08-F-9,CYF,31415.46425,CYF,179165.9341,CYF-Sw,31415.46425,CYF-Sw,179165.9341
PC08-F-9n,DYF,14411.98268,CYF,143898.6923,DYF-At,14411.98268,CYF-Sw,143898.6923
PC08-G-1,WSH,15656.83269,DYF,73481.96605,WSH,15656.83269,DYF-At,73481.96605
PC08-G-10,WGR,20187.82145,WGR,117347.4191,WGR,20187.82145,WGR,117347.4191
PC08-G-10n,FBT,31415.51541,FBT,100081.0227,FBT-Sb,31415.51541,FBT-Sb,100081.0227
PC08-G-11,WGR,22457.99827,WGR,109687.5998,WGR,22457.99827,WGR,109687.5998
PC08-G-11n,CYF,16423.16514,FBT,52685.57196,CYF-Sw,16423.16514,FBT-Sb,52685.57196
PC08-G-12,DYF,17954.41692,DYF,117517.0069,DYF-At,17954.41692,DYF-At,117517.0069
PC08-G-12n,DYF,22494.41423,DYF,75682.16627,DYF-At,22494.41423,DYF-At,75682.16627
PC08-G-13,DYF,19341.82366,DYF,141897.5717,DYF-At,19341.82366,DYF-At,141897.5717
PC08-G-13n,DYF,20961.8318,DYF,116306.3216,DYF-At,20961.8318,DYF-At,116306.3216
PC08-G-14,DYF,26979.64346,DYF,138783.303,DYF-At,26979.64346,DYF-At,138783.303
PC08-G-14n,DYF,17367.38874,DYF,153057.9828,DYF-At,17367.38874,DYF-At,153057.9828
PC08-G-15,DYF,24327.23128,DYF,149563.7892,DYF-At,24327.23128,DYF-At,149563.7892
PC08-G-15n,DYF,21310.16212,DYF,127198.4731,DYF-At,21310.16212,DYF-At,127198.4731
PC08-G-16,DYF,23927.17686,DYF,165447.5272,DYF-At,23927.17686,DYF-At,165447.5272
PC08-G-16n,WGR,17368.54469,DYF,88954.32209,WGR,17368.54469,DYF-At,88954.32209
PC08-G-1n,CUL,16315.37312,DYF,82538.3421,CUL,16315.37312,DYF-At,82538.3421
PC08-G-2,DYF,29380.6121,DYF,106339.8893,DYF-At,29380.6121,DYF-At,106339.8893
PC08-G-2n,DYF,24885.79849,DYF,93701.07217,DYF-At,24885.79849,DYF-At,93701.07217
PC08-G-3,DYF,27751.43432,DYF,122778.2771,DYF-At,27751.43432,DYF-At,122778.2771
PC08-G-3n,DYF,30388.65635,DYF,120193.6872,DYF-At,30388.65635,DYF-At,120193.6872
PC08-G-4,DYF,27076.60572,DYF,100322.2709,DYF-At,27076.60572,DYF-At,100322.2709
PC08-G-4n,DYF,30412.95656,DYF,118802.9624,DYF-At,30412.95656,DYF-At,118802.9624
PC08-G-5,DYF,20021.99139,DYF,89821.15062,DYF-At,20021.99139,DYF-At,89821.15062
PC08-G-5n,DYF,26826.19548,DYF,100636.2221,DYF-At,26826.19548,DYF-At,100636.2221
PC08-G-6,DYF,19455.16087,DYF,74618.40852,DYF-At,19455.16087,DYF-At,74618.40852
PC08-G-6n,DYF,23250.65987,DYF,88017.97103,DYF-At,23250.65987,DYF-At,88017.97103
PC08-G-7,DYF,17573.61734,CUL,79031.67599,DYF-At,17573.61734,CUL,79031.67599
PC08-G-8,FBT,28146.45646,FBT,88106.28039,FBT-Sb,28146.45646,FBT-Sb,88106.28039
PC08-G-8n,DYF,30870.36424,DYF,102846.8519,DYF-At,30870.36424,DYF-At,102846.8519
PC08-G-9,WGR,25853.932820000002,WGR,79834.73044,WGR,25853.932820000002,WGR,79834.73044
PC08-G-9n,FBT,16746.40919,FBT,106913.5984,FBT-Sb,16746.40919,FBT-Sb,106913.5984
PC08-H-1,DYF,18508.77107,DYF,83029.23649,DYF-Ep,11674.20107,DYF-At,47616.75754
PC08-H-10,DYF,31415.52761,DYF,175979.0084,DYF-At,31415.52761,DYF-At,175979.0084
